num,filmTitleKor,filmTitleEng,runningTime,realeseDate,genre,actor,director,award,filmInfor,synopsis,summary,trailer01,trailer02,trailer03,trailer04,ost,imageClip01,imageClip02,imageClip03,imageClip04,imageClip05,imageClip06,imageClip07,imageClip08
1,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
2,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 3월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
3,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 4월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
4,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 5월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
5,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 6월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
6,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 7월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
7,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 8월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
8,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 9월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
9,영웅본색,A Better Tomorrow,123,1993,"Action, Drama, Gangster","주윤발, 적룡, 장국영",오우삼,Honkong Movie Award,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 10월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!","한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!",,,,,,,,,,,,,
